,NUM_PERIODO_ALUNO,ANO_INGRESSO,ANO_EVASAO,SEXO,ETNIA,TIPO_COTA
NUM_PERIODO_ALUNO,1.0,-0.7253318293965962,0.05921002179200037,0.016881162069100845,0.09188141734120747,0.06590357953161687
ANO_INGRESSO,-0.7253318293965962,1.0,0.590743155585267,-0.04340666966095287,-0.08233196127731904,-0.03496285895361709
ANO_EVASAO,0.05921002179200037,0.590743155585267,1.0,-0.07021830709338125,0.003045809237379009,-0.004664408488945427
SEXO,0.016881162069100845,-0.04340666966095287,-0.07021830709338125,1.0,0.06602137008162103,-0.0028032429324757503
ETNIA,0.09188141734120747,-0.08233196127731904,0.003045809237379009,0.06602137008162103,1.0,0.30962014879913885
TIPO_COTA,0.06590357953161687,-0.03496285895361709,-0.004664408488945427,-0.0028032429324757503,0.30962014879913885,1.0
